id,desc,good_id,good_num,start_time,uid
1001128,Repay_Text_20,401300001,2,1772337601,1830541208043
1001129,Repay_Text_20,405231005,3,1772337601,1830541208043
1001130,Repay_Text_20,404100005,412,1772337601,1610183813530
1001131,Repay_Text_20,220005,39,1772337601,1610183813530
1001132,Repay_Text_20,203035,3,1772337601,1610183813530
1001133,Repay_Text_20,251,3,1772337601,1610183813530
1001134,Repay_Text_20,508053001,1,1772337601,1814519294437
1001135,Repay_Text_20,509093001,1,1772337601,1814519294437
1001136,Repay_Text_20,509093002,1,1772337601,1814519294437
1001137,Repay_Text_20,509093003,1,1772337601,1814519294437
1001138,Repay_Text_20,508053004,1,1772337601,1814519294437
1001139,Repay_Text_20,220005,45,1772337601,1814519294437
1001140,Repay_Text_20,203035,3,1772337601,1814519294437
1001141,Repay_Text_20,401300001,2,1772337601,1814519294437
1001142,Repay_Text_20,405231005,3,1772337601,1814519294437
1001143,Repay_Text_20,251,2,1772337601,1814519294437
1001144,Repay_Text_20,508053001,1,1772337601,1813504272868
1001145,Repay_Text_20,405231005,1,1772337601,1813504272868
1001146,Repay_Text_20,508053001,1,1772337601,1868609366521
1001147,Repay_Text_20,509093001,1,1772337601,1868609366521
1001148,Repay_Text_20,509093002,1,1772337601,1868609366521
1001149,Repay_Text_20,401300001,2,1772337601,1868609366521
1001150,Repay_Text_20,405231005,3,1772337601,1868609366521
1001151,Repay_Text_20,411115002,1,1772337601,1868609366521
1001152,Repay_Text_20,251,1,1772337601,1868609366521
1001153,Repay_Text_20,509093001,3,1772337601,1961329175067
1001154,Repay_Text_20,509093002,4,1772337601,1961329175067
1001155,Repay_Text_20,509093003,4,1772337601,1961329175067
1001156,Repay_Text_20,220005,113,1772337601,1961329175067
1001157,Repay_Text_20,220203,124,1772337601,1961329175067
1001158,Repay_Text_20,401300001,8,1772337601,1961329175067
1001159,Repay_Text_20,405231005,12,1772337601,1961329175067
1001160,Repay_Text_20,509093002,1,1772337601,1534504151422
1001161,Repay_Text_20,509093003,3,1772337601,1534504151422
1001162,Repay_Text_20,220005,77,1772337601,1534504151422
1001163,Repay_Text_20,151,5,1772337601,1534504151422
1001164,Repay_Text_20,203035,9,1772337601,1534504151422
1001165,Repay_Text_20,203038,6,1772337601,1534504151422
1001166,Repay_Text_20,508053001,1,1772337601,1805996796385
1001167,Repay_Text_20,509093001,2,1772337601,1805996796385
1001168,Repay_Text_20,509093002,2,1772337601,1805996796385
1001169,Repay_Text_20,509093003,2,1772337601,1805996796385
1001170,Repay_Text_20,508053004,2,1772337601,1805996796385
1001171,Repay_Text_20,220005,73,1772337601,1805996796385
1001172,Repay_Text_20,401300001,3,1772337601,1805996796385
1001173,Repay_Text_20,405231005,6,1772337601,1805996796385
1001174,Repay_Text_20,411115002,1,1772337601,1805996796385
1001175,Repay_Text_20,509093003,3,1772337601,1638099397028
1001176,Repay_Text_20,220005,140,1772337601,1638099397028
1001177,Repay_Text_20,410295004,4,1772337601,1638099397028
1001178,Repay_Text_20,203035,21,1772337601,1638099397028
1001179,Repay_Text_20,411115002,7,1772337601,1638099397028
1001180,Repay_Text_20,203038,14,1772337601,1638099397028
1001181,Repay_Text_20,508053001,2,1772337601,1958844836378
1001182,Repay_Text_20,509093001,2,1772337601,1958844836378
1001183,Repay_Text_20,509093002,2,1772337601,1958844836378
1001184,Repay_Text_20,509093003,2,1772337601,1958844836378
1001185,Repay_Text_20,508053004,2,1772337601,1958844836378
1001186,Repay_Text_20,220005,87,1772337601,1958844836378
1001187,Repay_Text_20,220203,78,1772337601,1958844836378
1001188,Repay_Text_20,401300001,4,1772337601,1958844836378
1001189,Repay_Text_20,405231005,6,1772337601,1958844836378
1001190,Repay_Text_20,411115002,1,1772337601,1958844836378
1001191,Repay_Text_20,251,4,1772337601,1958844836378
1001192,Repay_Text_20,509093001,1,1772337601,1366572607806
1001193,Repay_Text_20,509093002,1,1772337601,1366572607806
1001194,Repay_Text_20,230001,49,1772337601,1366572607806
1001195,Repay_Text_20,509093003,1,1772337601,1366572607806
1001196,Repay_Text_20,404100005,267,1772337601,1366572607806
1001197,Repay_Text_20,220005,18,1772337601,1366572607806
1001198,Repay_Text_20,151,10,1772337601,1366572607806
1001199,Repay_Text_20,203035,3,1772337601,1366572607806
1001200,Repay_Text_20,203038,2,1772337601,1366572607806
1001201,Repay_Text_20,508053001,1,1772337601,1996554644008
1001202,Repay_Text_20,508053004,1,1772337601,1996554644008
1001203,Repay_Text_20,401300001,4,1772337601,1996554644008
1001204,Repay_Text_20,405231005,6,1772337601,1996554644008
1001205,Repay_Text_20,509093001,1,1772337601,1592280688694
1001206,Repay_Text_20,509093002,1,1772337601,1592280688694
1001207,Repay_Text_20,509093003,1,1772337601,1592280688694
1001208,Repay_Text_20,297,30000,1772337601,1592280688694
1001209,Repay_Text_20,156,73,1772337601,1592280688694
1001210,Repay_Text_20,410295003,2,1772337601,1592280688694
1001211,Repay_Text_20,508053001,1,1772337601,1829175372266
1001212,Repay_Text_20,509093002,1,1772337601,1829175372266
1001213,Repay_Text_20,509093003,1,1772337601,1829175372266
1001214,Repay_Text_20,508053004,1,1772337601,1829175372266
1001215,Repay_Text_20,401300001,2,1772337601,1829175372266
